Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
BTC,Close_t+7,3346.8044154728886,2230.769198350619,"(1, 2, 1)",20548.18262930682,18095.613358156388,11818.634941181754,8935.650944628254,10770.625642063154,7778.203815547376
BTC,Close_t+90,14679.008336945886,10659.768658335322,"(1, 2, 1)",23158.226464042687,20655.281204825587,31147.44494273323,28158.079955026,31081.836708014667,28051.561308205342
DOGE,Close_t+1,0.0078116181932204,0.0041967326932668,"(2, 1, 2)",0.094971995418186,0.0565092789323905,0.0176291160016125,0.008518767937259,0.0166331341220927,0.0097296671614102
DOGE,Close_t+30,0.0572215389666201,0.0287268777800498,"(2, 1, 2)",0.1100883839958293,0.0660127547436125,0.0804320688458796,0.0485032050514178,0.0761614703531497,0.0442519669688706
DOGE,Close_t+7,0.0242029260354895,0.0119748913741895,"(2, 1, 2)",0.0975760082123005,0.05843669379461,0.0415186183448753,0.0250028184830328,0.0357851028168354,0.0218590322485768
DOGE,Close_t+90,0.1017667034163341,0.0599121580884039,"(2, 1, 2)",0.1204785746903794,0.0770819607651835,0.1067754491563159,0.0613222437482072,0.1069221632247891,0.061792588187138
DOT,Close_t+1,0.3273606726603686,0.2178875313847133,"(1, 1, 1)",2.3303606872473392,2.007521383680454,0.3714374796005328,0.257834561791756,0.484433213852346,0.2864012084792072
DOT,Close_t+30,1.9170084467902588,1.3585242037576433,"(1, 1, 1)",2.273338059548085,1.9509493107661544,4.340223461421734,2.248620079118499,4.170167592562741,2.269770944222113
DOT,Close_t+7,0.8972219034223736,0.6452078402974522,"(1, 1, 1)",2.333718732219229,2.0216207145318505,1.6430766053328243,1.0098091489769196,1.4937481386677465,0.980483583284913
DOT,Close_t+90,2.836009214236472,2.4405309563111466,"(1, 1, 1)",2.578869601041681,2.311847326253625,9.316323769330486,5.37404925175416,8.662279917966258,4.916106631530931
ETH,Close_t+1,81.77287491077068,53.68181969475911,"(2, 1, 2)",1194.2512439979662,953.18296089542,114.69548778425056,74.89258070343018,109.37782127115824,78.30891102051658
ETH,Close_t+30,435.8910930262786,312.1182350670288,"(2, 1, 2)",1253.2513240289593,1027.0786995027415,598.9149368280035,502.4305989568202,535.1332996060386,431.78220640508727
ETH,Close_t+7,219.20572949317827,152.48499957633842,"(2, 1, 2)",1206.4852462356116,968.1128818782446,267.9336166777851,196.37149687204644,298.82987997013663,217.8919458358676
ETH,Close_t+90,760.8566872227588,599.8968469287086,"(2, 1, 2)",1286.580839330211,1080.8700161067156,777.8283688464069,610.7378044812415,701.9962379880618,570.3785905089967
LEO,Close_t+1,0.1333705689678644,0.0730465347081481,"(0, 1, 1)",2.166980706645696,1.704113192079701,0.961773875051352,0.3822575971302169,0.9951477641967192,0.4213481658127713
LEO,Close_t+30,0.9052339055922124,0.5149319908474075,"(0, 1, 1)",2.585623771191662,2.068752232461192,1.6447585935955824,1.1875799279963355,1.6438621619103717,1.2139904059065434
LEO,Close_t+7,0.3256866773378714,0.1832804835276543,"(0, 1, 1)",2.2530126035304296,1.778484322353756,1.1446830897981914,0.5857570634774835,1.1437610208690072,0.5982404720525176
LEO,Close_t+90,1.834382244206168,1.323246447298272,"(0, 1, 1)",3.3848220394401047,2.8989222476805963,2.5860723326508888,2.0626288550709293,2.6995241691844614,2.206843358473458
LINK,Close_t+1,0.7310155585097332,0.4724664383855787,"(1, 1, 1)",8.030744898754692,6.67981698787522,0.7900600864247742,0.5391894876176441,0.9181693510850608,0.6368923773606275
LINK,Close_t+30,3.933585454665847,2.8412283857303606,"(1, 1, 1)",8.81154611373505,7.499476659785162,4.565078846231141,3.4215567592786598,4.521554076369056,3.4809581007619723
LINK,Close_t+7,1.8672523965199068,1.3052526417937382,"(1, 1, 1)",8.168208902876602,6.830886652654329,2.2841730133692746,1.6718232289567598,2.0114151242675318,1.4542987000037848
LINK,Close_t+90,6.76397786380026,5.589452333844782,"(1, 1, 1)",9.537903105222416,8.590493843896597,8.328159420053098,6.7712596857603655,7.0587454293364775,5.594557422034331
LTC,Close_t+1,3.1939629626889587,2.041633497263561,"(1, 1, 1)",28.24935539844604,24.15506029039038,3.513632122895073,2.344424657361907,3.98034039602944,2.961006478354804
