Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D
2024-04-28,AVAX,34.43024769,35.3351343555,33.8430579479,33.9389823174,244157564.17,-1.4268424003893831,37.56760053815,46.147166555069816,28.98803452123019,40.301276399505866,-3.1467482284167616,-3.2310291477686,0.08428091935183835,24.669857610957788,33.97160705984967
2024-04-29,AVAX,33.9389823174,35.7811038474,32.9130589343,35.3642535545,442995633.63,4.1995108273158,37.012303513135,44.53873410380199,29.485872922468015,50.62073188604749,-2.9929090570476475,-3.18340512962441,0.19049607257676238,42.88913783844403,32.83623713915862
2024-04-30,AVAX,35.358560838,35.6520561819,31.9890292961,32.7064237644,518107123.18,-7.515582892210659,36.28203985269,42.279783153027914,30.28429655235208,44.56368334125687,-3.0502931760450878,-3.1567827389085457,0.1064895628634579,9.147015657496445,25.568670368966078
2024-05-01,AVAX,32.7064237644,33.854856898,30.680228272,33.2881001978,620506676.31,1.7784776397141266,35.643564904875,39.64673475760415,31.640395052145845,49.29495327570567,-3.0140895289935656,-3.12824409692555,0.1141545679319842,28.49592682951325,26.844026775151235
2024-05-02,AVAX,33.2881001978,34.0860251718,32.3146177878,33.6125627928,352653460.78,0.9747104613120784,35.35330592682,39.033009885371186,31.673601968268812,46.42658810123137,-2.925493193622792,-3.0876939162649983,0.16220072264220642,32.04129356112439,23.228078682711356
2024-05-03,AVAX,33.6126979279,35.8673776817,33.3670408111,35.5848952343,314837755.08,5.8678430849149255,35.42863016447,39.059806607211456,31.797453721728548,52.24935340166599,-2.6654040957212075,-3.00323595215624,0.33783185643503266,53.59275104660583,38.04332381241448
2024-05-04,AVAX,35.5847698489,37.6178117502,35.2532260325,37.3618304095,376360200.17,4.99350964362888,35.430899527805,39.06709689226076,31.794702163349246,47.29620489249398,-2.289505795973575,-2.860489920919707,0.5709841249461318,73.00912430955067,52.88105630576029
2024-05-05,AVAX,37.3618304095,37.9348686734,36.7149151935,37.4019413519,338713060.7,0.1073580763050641,35.543136431705,39.280918699280114,31.80535416412989,50.87794630566985,-1.965707613632567,-2.6815334594622793,0.7158258458297122,73.44741212130452,66.68309582582033
2024-05-06,AVAX,37.4018829612,39.7674150278,36.8858367043,37.1383606247,552983719.99,-0.7047247219604813,35.661743566735,39.44597990457264,31.877507228897354,42.74088176538916,-1.7106447354653085,-2.4873557146628853,0.7767109791975768,70.56729479588908,72.34127707558142
2024-05-07,AVAX,37.1383606247,37.5788436656,35.3320152446,35.341731344,369709353.27,-4.837664480820115,35.751518218064994,39.40745694092498,32.09557949520501,40.33618938161592,-1.6346354745585927,-2.316811666642027,0.6821761920834342,51.14167445312037,65.05212712343798
2024-05-08,AVAX,35.341731344,35.4895858981,33.69520495,34.0471999989,408813424.94,-3.66289736204386,35.71133602653,39.42614739973998,31.996524653320016,42.05834954775662,-1.6597231925506648,-2.1853939718237543,0.5256707792730895,37.05186013020445,52.920276459737956
2024-05-09,AVAX,34.0471999989,35.3554772575,33.7798598083,35.0806545355,314300330.96,3.0353583749424207,35.72924473113,39.42739992280251,32.0310895394575,48.307727384893674,-1.578023769909123,-2.0639199314408283,0.48589616153170523,48.42451664380218,45.53935040904233
2024-05-10,AVAX,35.0806545355,36.0831218133,33.2565188208,33.7125169191,394839671.35,-3.899977450578962,35.49981780765,39.094050553478205,31.90558506182179,47.69906290263996,-1.6051702569551054,-1.9721699965436839,0.36699973958857846,33.36883821421317,39.61507166273992
2024-05-11,AVAX,33.7125339534,33.9771285006,33.1314702579,33.4791474726,226017885.95,-0.6922338283433915,35.31792257358,38.93568175344208,31.70016339371792,46.883597720306724,-1.6267626997238338,-1.903088537179714,0.27632583745588013,30.800722770504834,37.53135920950672
2024-05-12,AVAX,33.4791394444,33.9659978726,32.9345622232,33.1672418174,160171039.06,-0.9316415701901336,35.014984952655,38.249204669835756,31.78076523547424,47.441217224707316,-1.650022612282548,-1.8524753522002808,0.20245273991773272,27.36835515721022,30.512638713976063
2024-05-13,AVAX,33.1672418174,33.7610161832,31.9788565315,32.4217209336,377640763.62,-2.247762680733034,34.721740489995,37.764851152751646,31.67862982723835,39.78321114367652,-1.708914265419054,-1.8237631348440355,0.11484886942498163,19.164266215799177,25.777781381171405
2024-05-14,AVAX,32.4217209336,33.1407606071,31.5053309978,31.5685108487,414009521.92,-2.631600236913334,34.481756756755,37.72838136875441,31.235132144755585,45.482987328180734,-1.8036419860118258,-1.8197389050775936,0.016096919065767823,9.775110828830416,18.769244067279928
2024-05-15,AVAX,31.5685108487,34.7537435887,31.397023264,34.6796081634,493195940.55,9.855065161643871,34.436554452395,37.643514519406224,31.229594385383773,54.59994172058744,-1.609125833326246,-1.777616290727324,0.16849045740107815,39.21662201289369,22.71866635250775
2024-05-16,AVAX,34.67978352,35.00104757,33.7906209767,34.4615411937,363745935.99,-0.6288045951169052,34.439373558209994,37.64631654786262,31.232430568557366,52.82637003996957,-1.45578517757059,-1.7132500680959772,0.25746489052538735,36.61140381250988,28.534378884744655
2024-05-17,AVAX,34.4615411937,37.535939951,34.2984556168,36.4234826559,503901273.51,5.693133255916805,34.539035306505,37.866409874769744,31.211660738240255,52.79370984797737,-1.1625481918592229,-1.6031096928486264,0.4405615009894035,60.050467566378046,45.29283113059386
2024-05-18,AVAX,36.4234826559,37.6295319119,36.3956595601,37.2683119224,312377541.0,2.319463172924108,34.70550178675499,38.23355231997979,31.177451253530197,49.66781777610788,-0.8521619146510702,-1.4529201372091154,0.6007582225580452,70.1435347756425,55.601802051510134
2024-05-19,AVAX,37.2683337982,37.7269204109,35.4324241599,35.6218288813,308506372.61,-4.417916874067995,34.718380553095,38.25841629136043,31.178344814829572,44.324619034035315,-0.7306139125426796,-1.3084588922758282,0.5778449797331486,50.47321243751777,60.22240492651277
2024-05-20,AVAX,35.6218288813,40.215677903,35.2384153654,40.139420638,665621113.53,12.682088198653796,35.090030396775,39.247548260530166,30.932512533019832,57.526445354203005,-0.26668022189430474,-1.1001031581995235,0.8334229363052188,99.13527324616942,73.25067348644323
2024-05-21,AVAX,40.1388120345,41.3155407943,39.7344411588,41.1637430348,775228483.62,2.5519112645843167,35.483812538625,40.353596506661326,30.61402857058868,65.18960391514139,0.18155200866490162,-0.8437721248266385,1.0253241334915402,98.46955192627357,82.69267920332025
2024-05-22,AVAX,41.163740614,41.6888710119,39.3324833278,39.992427245,569900148.58,-2.845503599635635,35.802805761235,40.982445617456456,30.623165905013543,65.61144464694547,0.4372238412994349,-0.5875729316014239,1.0247967729008587,83.51662588400306,93.70715035214869
2024-05-23,AVAX,39.992427245,40.3958011582,36.7211394658,38.508546205,738657008.92,-3.710405049709808,35.94898830977,41.26593910870893,30.632037510831076,58.793220832105376,0.5141816461122488,-0.3672220160586893,0.8814036621709381,69.09860225788987,83.69492668938882
2024-05-24,AVAX,38.508546205,38.9470239699,36.9985591272,37.9934675213,387867840.55,-1.3375697980338883,35.98057016535999,41.3401884101638,30.620951920556184,61.48409058970304,0.5275277047888167,-0.18827207188918813,0.7157997766780049,64.0938771952299,72.23636844570758
2024-05-25,AVAX,37.9935446907,38.6883221479,37.7730600231,38.2877833692,231452356.48,0.7746485569789074,36.024862266225,41.44820096663004,30.60152356581996,62.857617583968455,0.555450494128138,-0.03952755868572291,0.5949780528138608,66.95357600812244,66.71535182041406
2024-05-26,AVAX,38.2878050311,38.2892077486,36.5188987442,36.7520434347,246541311.77,-4.011044253179207,36.005546406725,41.41492061784409,30.596172195605916,58.99646294150586,0.4484882346574821,0.05807559998291809,0.390412634674564,52.03166915554447,61.02637411963226
2024-05-27,AVAX,36.7520434347,38.8685632549,36.687920228,38.2343180179,369526477.62,4.033175967027969,36.15017574042,41.638915103201505,30.661436377638502,64.0671717793467,0.4778190438783909,0.14202428876201267,0.33579475511637824,66.43408375945687,61.80644297437459
2024-05-28,AVAX,38.2343180179,38.3322764342,36.5601317598,36.9953961779,499550167.82,-3.240339841866624,36.29758554937,41.70629259590966,30.888878502830337,62.89299969320642,0.3965224194916033,0.19292391490793082,0.20359850458367246,54.396188619272536,57.62064717809128
2024-05-29,AVAX,36.9953961779,37.4198595075,36.1272067035,36.1369225774,386815665.35,-2.3204876530362077,36.350398951464996,41.72962092586443,30.97117697706556,53.87723110173361,0.25982748445361636,0.20630462881706793,0.05352285563654843,29.706600702006302,50.17895769357856
2024-05-30,AVAX,36.1369242717,37.0575451121,35.3328248986,35.987576746,400927204.93,-0.4132776693425377,36.464151942810005,41.702885447090736,31.225418438529278,54.074966777787324,0.13785568857765895,0.19261484076918614,-0.05475915219152719,22.855564114723116,35.652784478667314
2024-05-31,AVAX,35.987576746,36.7342695158,35.2192441672,36.0558639029,304849132.55,0.1897520285457643,36.592987764325,41.646075106584696,31.53990042206531,48.90790265649599,0.046170143771398386,0.1633259013696286,-0.11715575759823021,12.93149907488177,21.831221297203726
2024-06-01,AVAX,36.05585327,36.183752471,35.6951314825,35.7601143888,153306281.98,-0.8202535789919474,36.722631392894996,41.53285797424411,31.912404811545883,45.36845034101154,-0.04978196959500991,0.12070432717670092,-0.17048629677171084,8.36014556171013,14.715736250438335
2024-06-02,AVAX,35.7601262796,36.1291190577,34.7851515975,34.9324904626,242436677.59,-2.3143771778851074,36.848169869345,41.303761376385744,32.392578362304256,47.77099555809019,-0.190412092760198,0.05848104318932114,-0.24889313594951912,2.1341954421168605,7.8086133595695815
2024-06-03,AVAX,34.9325111685,36.2376913812,34.6283141598,35.0404684358,367614939.12,0.3091047095986621,37.0217677487,40.83555617031179,33.20797932708821,26.934723273723122,-0.2898088228165676,-0.011176930011856614,-0.278631892804711,5.837418840683119,5.4439199481700316
2024-06-04,AVAX,35.0404684358,36.2290169897,34.5719770437,36.073288425,331619264.88,2.9475062272420693,37.09145176178,40.77371220494861,33.40919131861139,26.990851446253956,-0.2819908905562727,-0.06533972212073984,-0.21665116843553284,21.095036511675897,9.68888359815862
2024-06-05,AVAX,36.073288425,36.8763667851,35.9809485259,36.5215885592,338905421.26,1.242748176762576,37.19445413005501,40.6767877118252,33.712120548284815,33.214483142437416,-0.2368903244838947,-0.09964984259337081,-0.13724048189052387,33.476483438281406,20.136312930213467
2024-06-06,AVAX,36.5218949157,37.1436369643,35.7800696385,35.9118169316,288389895.4,-1.6696196733380964,37.16887084384,40.68243089652519,33.655310791154804,36.28200262842874,-0.24749826922736418,-0.1292195279201695,-0.11827874130719468,30.624583237498822,28.398701062485372
2024-06-07,AVAX,35.9118190286,36.8263870386,31.6257359022,33.5077890883,639619594.87,-6.694252891405828,36.980844702135,40.85588764659037,33.105801757679636,30.24561959647663,-0.4447631448397473,-0.1923282513040851,-0.25243489353566223,25.985062106147726,30.02870959397598
2024-06-08,AVAX,33.5066497813,33.6950165021,31.9956757001,32.2900300162,283275580.86,-3.634256706376393,36.81425475888,41.1894858537487,32.439023664011295,25.573357968697934,-0.691390045788026,-0.29214061020087334,-0.39924943558715265,9.171751328031384,21.92713222389264
2024-06-09,AVAX,32.2904210433,33.0000993634,32.095874668,32.9683680655,225586790.09,2.100766239485319,36.455702130255005,40.85882280514792,32.05258145536209,33.43351865488226,-0.8226247244125915,-0.398237433043217,-0.4243872913693745,18.537403940936382,17.898072458371825
2024-06-10,AVAX,32.9684021773,33.4279473422,32.0682460305,32.274228843,339010384.79,-2.105470374271834,36.011226420665,40.20290707929745,31.819545762032543,21.969763804100026,-0.9714422057633172,-0.512878387587237,-0.45856381817608016,9.669559702339077,12.459571657102275
2024-06-11,AVAX,32.2745503157,32.3513442786,30.6693619088,31.5414760879,431914740.14,-2.270395858765595,35.58867886281,39.79434337114966,31.38301435447034,23.06803664291455,-1.135419743345075,-0.6373866587388046,-0.4980330846062704,12.919257672778965,13.708740438684805
2024-06-12,AVAX,31.5415351877,33.9482927994,30.8694651244,33.273411353,393798585.5,5.490977214488724,35.32692212021,39.41749337858934,31.23635086183066,36.982653329162986,-1.1127928386123216,-0.732467894713508,-0.38032494389881355,40.221483045976,20.936766807031344
2024-06-13,AVAX,33.2712235318,33.3905057017,30.9408160742,30.9832147579,288165398.91,-6.882963008520948,34.976409482040005,39.29968357947566,30.653135384604347,30.957061623881458,-1.2650775523070337,-0.8389898262322133,-0.42608772607482037,4.847690998004505,19.329477238919818
2024-06-14,AVAX,30.9814138362,32.0636860947,29.3127300977,30.2910381062,375634359.15,-2.234037549391199,34.57657221889,39.08553244554308,30.06761199223692,29.057663152114074,-1.4251884705532376,-0.9562295550964182,-0.46895891545681945,12.492908229412096,19.18736075779753
2024-06-15,AVAX,30.2894948046,30.6058342883,29.9377821909,29.9875383677,160233357.33,-1.001945649521585,34.23834696554,39.06392707864099,29.41276685243902,29.04131007712502,-1.5586008389677488,-1.0767038118706844,-0.4818970270970644,8.617242950391692,8.652614059269427
2024-06-16,AVAX,29.9885641291,30.4352177067,29.6767231707,30.0388690385,183019541.99,0.1711733393071401,33.82857451657,38.61713813578413,29.040010897355874,31.17117430896087,-1.6412696115481467,-1.1896169718061769,-0.4516526397419698,9.272731154604372,10.127627444802714
2024-06-17,AVAX,30.0424433715,30.3074050187,27.4255130731,28.4801544638,322647280.68,-5.188992211065724,33.402812430865005,38.50947459845946,28.29615026327055,27.293292338195997,-1.8116765691123007,-1.3140288912674016,-0.49764767784489905,10.852314730690795,9.580762945228948
2024-06-18,AVAX,28.4761636448,28.4941248718,25.3829994446,26.6188638632,449168309.98,-6.535395034341596,32.926909495155,38.69227652390994,27.161542466400064,19.051065639241415,-2.0730194291421924,-1.4658269988423598,-0.6071924302998326,10.508481503870401,10.211175796388519
2024-06-19,AVAX,26.6177824794,27.5891310654,26.4200973715,26.891940653,214897798.03,1.02587695404055,32.472127690505,38.64173154617954,26.302523834830453,18.11165679707183,-2.2323671746614338,-1.6191350340061745,-0.6132321406552592,12.830437174380208,11.397077802980462
2024-06-20,AVAX,26.891940653,28.8451363208,26.7174379875,27.5444082515,295674925.81,2.426257022202716,32.046554907935004,38.348118047514575,25.744991768355433,22.36966229910975,-2.2797234953484526,-1.7512527262746302,-0.5284707690738224,18.887840588781522,14.07558642234404
2024-06-21,AVAX,27.5438850262,27.9840879975,26.9767513986,27.4504387586,229113420.84,-0.341156332138226,31.631071126425002,37.99713724537182,25.265005007478184,26.39683237512746,-2.2983424127522625,-1.8606706635701566,-0.43767174918210583,24.13740228290058,18.6185600153541
2024-06-22,AVAX,27.4498927752,27.4687999204,24.6715099389,25.617315414,568500433.73,-6.677938231590918,31.165312373995,37.86848606887094,24.46213867911906,25.18885633405128,-2.4329700090025135,-1.9751305326566282,-0.4578394763458853,10.195403829329983,17.740215567004025
2024-06-23,AVAX,25.6161648096,25.9717714254,24.1958120712,25.0512016892,388408327.28,-2.209887006702571,30.665849036664998,37.63655157587656,23.695146497453436,20.31386265366318,-2.5558813857182088,-2.091280703268944,-0.46460068244926456,8.77099521395484,14.36793377539513
2024-06-24,AVAX,25.0533876689,25.1795470446,23.6494639819,24.8313164765,451738261.99,-0.8777431734733776,30.103750439240002,37.051496287557725,23.156004590922276,21.06297085908335,-2.6405933202183327,-2.201143226658822,-0.4394500935595107,11.475600919562957,10.147333320949256
2024-06-25,AVAX,24.8305242972,25.7247748503,24.6300233411,25.399450558,240499665.66,2.287974067092557,29.547643539179994,36.10178666152096,22.993500416839026,25.81101537072054,-2.6315496006304677,-2.287224501453151,-0.3443250991773166,16.99209305194456,12.412896395154116
2024-06-26,AVAX,25.3984899101,26.6026290287,25.3094709583,25.8035992946,341321540.55,1.5911711778060722,29.042232657330004,35.06763718134076,23.01682813331925,17.145812458274094,-2.5622351108470376,-2.3422266233319284,-0.22000848751510915,22.11401382359638,16.860569265034627
2024-06-27,AVAX,25.8018129429,28.291244226,25.3695413406,27.8952980607,359682497.64,8.10622867848414,28.76160810595,34.42311962858439,23.100096583315608,36.17717546683191,-2.311870465306775,-2.336155391726898,0.024284926420122588,50.4602091717604,29.85543868243377
2024-06-28,AVAX,27.8944414164,28.9299683829,27.6935051479,27.8957865856,328243749.33,0.0017512804449504,28.54189593442,33.962806760711686,23.120985108128316,38.57002852235044,-2.089330755671451,-2.286790464515809,0.1974597088443577,61.04221621414946,44.538813069835406
2024-06-29,AVAX,27.8976184794,28.5892920144,27.5795011528,27.7255071327,191296681.13,-0.6104128033009082,28.27975288778,33.29096679674547,23.268538978814526,39.06673693281163,-1.9047497913090616,-2.2103823298744594,0.30563253856539774,60.06765520096233,57.19002686229072
2024-06-30,AVAX,27.7254213491,29.4488938079,27.4114304514,29.3608759742,255192412.11,5.898427154723573,28.134085244340003,32.81488287589464,23.453287612785367,47.15815771227476,-1.6079717516312968,-2.089900214225827,0.48192846259453015,85.78345707590158,68.96444283033777
2024-07-01,AVAX,29.3504956399,30.0285438079,28.816136835,28.816136835,296949143.61,-1.855323184766944,27.997818281694997,32.41203869997049,23.583597863419502,51.53911587866139,-1.4005838541375404,-1.9520369422081698,0.5514530880706294,80.99401470462267,75.61504232716219
2024-07-02,AVAX,28.8150029051,28.8502163249,28.081689276,28.6426426607,250229605.48,-0.6020729818622672,27.76627984708,31.438855003331522,24.093704690828478,60.96662749904655,-1.2359793802146513,-1.8088254298094661,0.5728460495948149,78.27427801837418,81.68391659963281
2024-07-03,AVAX,28.6423063846,28.9027640856,26.447532043,26.4912962322,340094711.74,-7.510991405314082,27.541683920795,30.923839437705066,24.15952840388493,48.196149735341756,-1.2645479048538135,-1.6999699248183358,0.43542201996452223,44.54925047765828,67.93918106688504
2024-07-04,AVAX,26.4898428225,26.630458105,24.3908458468,24.4464154891,534573188.91,-7.719066387602657,27.24945278994,30.641359357307408,23.857546222572594,37.60571927234155,-1.4356442395066793,-1.6471047877560046,0.21146054824932525,12.493204800899925,45.10557776564412
2024-07-05,AVAX,24.4359056041,25.4077273039,22.1256587101,25.1344192367,610525788.75,2.81433385563934,27.006796833390002,30.26571203241345,23.747881634366554,41.15462979086136,-1.4984499663975974,-1.6173738234843231,0.1189238570867257,38.07167242070697,31.70470923308839
2024-07-06,AVAX,25.1294594115,27.5665600273,24.9748411955,27.4434257718,251584025.43,9.186631739350103,26.877024670055,29.8188420814289,23.9352072586811,56.729679318357505,-1.3463861260745524,-1.563176284002369,0.21679015792781664,67.2889330316528,39.284603417753225
2024-07-07,AVAX,27.4401383265,27.4533515797,25.517517366,25.7051303422,246740618.82,-6.334105093345233,26.738273463975,29.622938881959172,23.853608045990825,52.21824576180128,-1.3505717996804307,-1.5206553871379815,0.1700835874575508,45.2932263009052,50.21794391775498
2024-07-08,AVAX,25.7152750446,27.155774549,24.6664982705,25.2221867111,457966073.12,-1.8787830470836095,26.668439606370004,29.631825801116488,23.70505341162352,51.30265512005783,-1.3769854598334064,-1.4919214016770665,0.11493594184366018,39.182247524643714,50.58813561906723
2024-07-09,AVAX,25.2199471471,26.4696088176,24.7792097657,26.4216014841,349286750.8,4.755395663105411,26.644922647925,29.60830583736229,23.68153945848771,53.26897719654578,-1.286307969972249,-1.450798715336103,0.164490745363854,54.35917035732066,46.27821472762318
2024-07-10,AVAX,26.4243438288,27.376235648,25.656867944,25.7676655187,255672807.37,-2.475005028720645,26.556085511284998,29.51245079881193,23.599720223758066,49.886886096698866,-1.2527714042728029,-1.4111932531234432,0.15842184885064037,46.08452183055291,46.54197990417242
2024-07-11,AVAX,25.7673291656,26.3149166712,25.0848900345,25.2255188459,302646280.35,-2.1039805581400173,26.44483951565,29.426837472771055,23.462841558528943,40.6874733325651,-1.2554678876174208,-1.3800481800222388,0.12458029240481805,39.22441104794366,46.556034411939066
2024-07-12,AVAX,25.2228510026,26.0734823657,24.8803649323,25.9743535072,245057055.86,2.968559996226628,26.46269142031,29.4280588249946,23.497324015625402,43.63033694346349,-1.1835370923265387,-1.3407459624830989,0.15720887015656015,48.69987035094813,44.66960107648156
2024-07-13,AVAX,25.9736133041,26.2967354693,25.5719552518,25.8732450883,263193766.52,-0.3892625041542419,26.503793590265,29.408962276822358,23.598624903707645,43.83135280689229,-1.1217590827963413,-1.2969485865457475,0.17518950374940623,47.420484182024154,45.11492186030531
2024-07-14,AVAX,25.8718737105,26.6395188928,25.6599524656,26.3693579823,251852910.13,1.917474566127564,26.580695665554998,29.378914605312048,23.78247672579795,39.219182464823405,-1.0209979717308464,-1.2417584635827672,0.22076049185192081,53.69810163182525,49.93948538826584
2024-07-15,AVAX,26.3763930686,27.8747165068,26.3183763547,27.8549275718,358080889.25,5.633696468822502,26.703469516245,29.49893567429737,23.90800335819263,46.75597975254659,-0.8119118009731956,-1.1557891310608528,0.3438773300876572,84.5385831178982,61.885722977249195
2024-07-16,AVAX,27.8491045268,29.2077475988,26.5368527689,28.0303294905,474045816.98,0.6296979887952636,26.814806026039996,29.636614779718016,23.992997272361976,47.933747973911736,-0.6248531175377359,-1.0496019283562295,0.4247488108184936,83.37470585814866,73.87046353595736
2024-07-17,AVAX,28.0310586827,28.9956903673,27.2532542225,27.2532542225,364404917.97,-2.7722659066971245,26.78270383413,29.56711664459331,23.99829102366669,52.834089360731426,-0.533165245996706,-0.9463145918843249,0.41314934588761887,72.40230378719811,80.10519758774832
