Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%
2023-02-26,SHIB,1.240431339e-05,1.307054335e-05,1.234713006e-05,1.284095951e-05,211029859.21,3.52170403056975
2023-02-27,SHIB,1.28410447e-05,1.286462764e-05,1.236726821e-05,1.251831125e-05,198295871.92,-2.5126491501568538
2023-02-28,SHIB,1.251826476e-05,1.253345808e-05,1.200635319e-05,1.202574999e-05,167806415.62,-3.9347260997364963
2023-03-01,SHIB,1.202217985e-05,1.241718715e-05,1.198184455e-05,1.224867634e-05,160464888.12,1.85374176400952
2023-03-02,SHIB,1.2249102e-05,1.228608746e-05,1.181589873e-05,1.206301404e-05,200047917.76,-1.5157743975460436
2023-03-03,SHIB,1.206379262e-05,1.206793992e-05,1.104233366e-05,1.137209592e-05,278913476.33,-5.727574532442481
2023-03-04,SHIB,1.137259469e-05,1.144345771e-05,1.087946688e-05,1.112074305e-05,158258658.66,-2.2102598480368774
2023-03-05,SHIB,1.111890623e-05,1.128678674e-05,1.106522765e-05,1.11101747e-05,129312076.18,-0.09503276851631215
2023-03-06,SHIB,1.111016096e-05,1.121450611e-05,1.090981133e-05,1.115741773e-05,145395068.53,0.4252231065277501
2023-03-07,SHIB,1.115529791e-05,1.128430864e-05,1.064886277e-05,1.110756706e-05,234316369.9,-0.44679397335783966
2023-03-08,SHIB,1.110661297e-05,1.164226896e-05,1.076293498e-05,1.094187545e-05,412101203.08,-1.4917002895861953
2023-03-09,SHIB,1.09428765e-05,1.112961804e-05,9.97248379e-06,1.008309843e-05,403438208.69,-7.848535874167705
2023-03-10,SHIB,1.00848906e-05,1.034323848e-05,9.72783379e-06,1.029101751e-05,388815184.91,2.062055443011279
2023-03-11,SHIB,1.029026237e-05,1.053235042e-05,1.000787919e-05,1.035972774e-05,269478872.21,0.66767187922121
2023-03-12,SHIB,1.035805074e-05,1.083528251e-05,1.014156736e-05,1.080499821e-05,234753564.86,4.298090463137982
2023-03-13,SHIB,1.080529597e-05,1.12280174e-05,1.047446299e-05,1.106075813e-05,415429997.65,2.3670519423436343
2023-03-14,SHIB,1.1061041e-05,1.176500427e-05,1.092020502e-05,1.128502479e-05,506680612.77,2.0275885012956074
2023-03-15,SHIB,1.128634193e-05,1.142748897e-05,1.02389918e-05,1.040788071e-05,393550123.58,-7.77263760002781
2023-03-16,SHIB,1.041185865e-05,1.059448173e-05,1.025821597e-05,1.053674068e-05,247405897.58,1.2380999897144251
2023-03-17,SHIB,1.053655345e-05,1.120765404e-05,1.046999512e-05,1.116908466e-05,293202506.8,6.00132431084941
2023-03-18,SHIB,1.117008867e-05,1.138372772e-05,1.069317797e-05,1.07159023e-05,339199096.01,-4.057470901111415
2023-03-19,SHIB,1.071700953e-05,1.117116661e-05,1.071700953e-05,1.095280127e-05,239000769.43,2.2107234964245492
2023-03-20,SHIB,1.095282531e-05,1.103597758e-05,1.04336019e-05,1.046467816e-05,287671249.64,-4.456605191376751
2023-03-21,SHIB,1.046876765e-05,1.108255634e-05,1.03805569e-05,1.097384518e-05,324462055.38,4.865577442660696
2023-03-22,SHIB,1.096990942e-05,1.103397101e-05,1.032901041e-05,1.059423142e-05,343049881.87,-3.459259300394102
