Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
TON,Close_t+7,1.0691958852443115,0.8601727021315788,1.161723021123996,0.8867452707137393
TON,Close_t+30,0.8319258383434185,0.7091374532314957,1.7269015457215302,1.4934509511755403
TON,Close_t+90,1.9071507519113546,1.5838941530647894,1.5332691562682288,1.100527988006564
TRX,Close_t+1,0.03005517025589302,0.012148690426796675,0.036736061527703326,0.016773912163352084
TRX,Close_t+7,0.05646586115498742,0.03595629607390651,0.05492984591837384,0.0360793498651471
TRX,Close_t+30,0.07308720071109465,0.054085191730497514,0.07486573313387315,0.05485842685566528
TRX,Close_t+90,0.1033577879429365,0.08618407230651479,0.10237513288763704,0.08502154623541994
UNI,Close_t+1,0.7843003252363586,0.5393477124244904,0.7117796550360044,0.482351215104478
UNI,Close_t+7,2.089205672332007,1.464483818404978,1.6426459373509394,1.1602122061422468
UNI,Close_t+30,5.033497938625555,3.4138302803853606,3.7560339966283367,2.589032531407175
UNI,Close_t+90,9.55760185844001,6.089194563913692,9.065388396013885,5.920938627333316
XRP,Close_t+1,0.0711327376657444,0.03056698980861038,0.09392483469030467,0.03638095631142264
XRP,Close_t+7,0.19947260714201048,0.10364200061026548,0.18325201875706354,0.08396711016554555
XRP,Close_t+30,0.4344613331743574,0.20596572764012291,0.4420305336067744,0.20571879282142833
XRP,Close_t+90,0.7585325503626115,0.37313706857706097,0.7488740863727091,0.37318983492297103
