Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
Polkadot,Close_t+90,9.90516823360204,8.342483937263538,5.314611250905127,4.17332473812465
Solana,Close_t+1,10.53650682557569,9.230835523813596,11.200179110593046,9.920771024551014
Solana,Close_t+7,11.90545779620299,10.535963080630905,12.704673607584434,11.27868488263603
Solana,Close_t+30,23.085053005410824,19.900426220889354,25.591369168142652,22.473064189208216
Solana,Close_t+90,23.574001876974396,21.676568183469136,28.064925554426534,26.611192489949765
Stellar,Close_t+1,0.017321672191977052,0.009029169594863698,0.021471101382797498,0.010188434448783932
Stellar,Close_t+7,0.05368413766603979,0.028555072238136588,0.05615997926424447,0.030336514416900887
Stellar,Close_t+30,0.1287516390928188,0.07153506380257492,0.12664519791794282,0.07401211110515106
Stellar,Close_t+90,0.16465881777319813,0.10493832384678779,0.16308755201416272,0.10882097324930709
Tether,Close_t+1,0.0024459141903831532,0.0014083271824280297,0.002663459893336158,0.0016552421944006474
Tether,Close_t+7,0.005572467991859022,0.002070039027247342,0.008061786374921715,0.0034609149156632915
Tether,Close_t+30,0.004797044977351093,0.0031864441462606014,0.005303467114689834,0.00349483087357807
Tether,Close_t+90,0.00262255436060742,0.0017507250463231821,0.004783509988156953,0.0030484150308313328
Tron,Close_t+1,0.005057109477709933,0.0026121072854090755,0.006717475304623525,0.003555995892034936
Tron,Close_t+7,0.01888009975450404,0.011050826199501339,0.01790785640286721,0.009725453509115255
Tron,Close_t+30,0.031510557877696285,0.01874379473073272,0.029629210039916202,0.016537680736035232
Tron,Close_t+90,0.05150119173796411,0.036235225685566516,0.05233743123452814,0.03707886063059028
Uniswap,Close_t+1,9.738025364581668,8.515634345638926,4.840530350285596,4.46125363512207
Uniswap,Close_t+7,6.5002422824563295,4.840166942440007,3.1694546782722783,2.7102639590628965
Uniswap,Close_t+30,8.402882244710309,6.60273877706508,8.505369860625226,6.992783960040382
Uniswap,Close_t+90,6.194601442286976,5.315699262655051,5.785694255811941,4.947507318284286
USDCoin,Close_t+1,0.0009195211054035475,0.0008457720000557704,0.000996640194516251,0.0007495402791574211
USDCoin,Close_t+7,0.001150341320702743,0.0010521166080213681,0.0015411170936903606,0.0012646359250108122
USDCoin,Close_t+30,0.001610709012469423,0.001443656486252961,0.0018371237423920374,0.0015631114791631487
USDCoin,Close_t+90,0.0014773632490709203,0.0012723031760010577,0.0015496954918872118,0.0011546263665993123
WrappedBitcoin,Close_t+1,27540.26636253399,22944.374618804366,28079.015311098337,23526.977468147805
WrappedBitcoin,Close_t+7,27783.972598681383,23190.450225006574,29026.56786200378,24550.560398884776
WrappedBitcoin,Close_t+30,32037.725184028266,28321.799566300324,32269.308273933042,28625.329695343862
WrappedBitcoin,Close_t+90,26409.085210430723,23062.779420645304,29461.00792233767,25903.90498328396
XRP,Close_t+1,0.03219234183510502,0.016483047016704007,0.03329180768664519,0.017380263164704122
XRP,Close_t+7,0.15562966916147175,0.09169355562622394,0.15689529925765264,0.0803749339162743
XRP,Close_t+30,0.37070063816627247,0.2345438845855914,0.4106904254529883,0.24020104866901412
XRP,Close_t+90,0.7778972719996183,0.5554212908956555,0.7399084559525542,0.5408445225669631
