Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D,Close_t+1,Close_t+7,Close_t+30,Close_t+90
2022-10-02,SHIB,1.116435853e-05,1.121181837e-05,1.092751735e-05,1.094433327e-05,176957003.67,-1.961304353837645,1.12165322735e-05,1.2219942498090548e-05,1.0213122048909452e-05,55.64253382992784,-3.077237301882369e-07,-3.572345794592728e-07,4.951084927103591e-08,38.83356773124517,49.093546350269,1.116080426e-05,1.103801272e-05,1.286974548e-05,8.08722868e-06
2022-10-03,SHIB,1.094434165e-05,1.118795046e-05,1.090743502e-05,1.116080426e-05,194093012.78,1.9779276147719127,1.1161295207e-05,1.2034776611296356e-05,1.0287813802703645e-05,52.87230438782909,-2.851801427004306e-07,-3.428236921075044e-07,5.764354940707381e-08,50.11768461155885,46.39931569088381,1.162568163e-05,1.024309294e-05,1.177412207e-05,8.12382669e-06
2022-10-04,SHIB,1.116116535e-05,1.169181173e-05,1.111743168e-05,1.162568163e-05,295527519.77,4.1652676560784085,1.11327271435e-05,1.1893705068155796e-05,1.03717492188442e-05,71.11744607531526,-2.2718363703106066e-07,-3.196956810922157e-07,9.251204406115501e-08,74.35063415409498,54.43396216563303,1.143497372e-05,1.023051757e-05,1.172757984e-05,8.18685345e-06
2022-10-05,SHIB,1.162319931e-05,1.175457915e-05,1.118831175e-05,1.143497372e-05,257284310.21,-1.6404019658329494,1.1119389133e-05,1.1846993909763753e-05,1.0391784356236246e-05,68.97543363845661,-1.943689586059873e-07,-2.9463033659497e-07,1.0026137798898269e-07,60.98921339253302,61.81917738606232,1.11801587e-05,1.017078317e-05,1.252461526e-05,8.14225422e-06
2022-10-06,SHIB,1.143587428e-05,1.160379639e-05,1.114128868e-05,1.11801587e-05,218959431.87,-2.228383083682328,1.11006386e-05,1.1799727971943138e-05,1.0401549228056864e-05,56.31817585534716,-1.8677154595265548e-07,-2.730585784665071e-07,8.628703251385163e-08,39.62796505221662,58.32260419961491,1.109186432e-05,1.03995234e-05,1.244096435e-05,8.37564048e-06
2022-10-07,SHIB,1.118038253e-05,1.1228125e-05,1.097026958e-05,1.109186432e-05,161253502.65,-0.7897417413225027,1.10577402085e-05,1.1631479581769856e-05,1.0484000835230144e-05,50.03924482610822,-1.8573413278035654e-07,-2.555936893292771e-07,6.985955654892049e-08,23.67210949251657,41.42976264575543,1.10028057e-05,1.017886141e-05,1.183179672e-05,8.3903609e-06
2022-10-08,SHIB,1.109438357e-05,1.114065288e-05,1.090883511e-05,1.10028057e-05,91674947.06,-0.8029184042525284,1.1076789563e-05,1.1613705262967185e-05,1.0539873863032817e-05,44.14245792222055,-1.899091077276417e-07,-2.4245677300895e-07,5.2547665281308255e-08,23.33300124732894,28.877691930687405,1.103801272e-05,1.021383871e-05,1.179444628e-05,8.44004404e-06
2022-10-09,SHIB,1.100300461e-05,1.109386782e-05,1.097688324e-05,1.103801272e-05,96163214.7,0.3199822023577159,1.1078740806e-05,1.1614748881099598e-05,1.0542732730900404e-05,50.2201191559149,-1.8820735593160818e-07,-2.3160688959348161e-07,4.3399533661873436e-08,26.91869699473508,24.641269244860226,1.024309294e-05,1.028636999e-05,1.018144098e-05,8.42991211e-06
2022-10-10,SHIB,1.10379992e-05,1.110586306e-05,1.023066887e-05,1.024309294e-05,192456230.49,-7.201656676474643,1.10645129375e-05,1.1672400582077886e-05,1.0456625292922115e-05,33.85098565295277,-2.4814166553948296e-07,-2.349138447826819e-07,-1.3227820756801068e-08,0.8147410482406356,17.022146430101582,1.023051757e-05,1.038945136e-05,8.76632187e-06,8.6431836e-06
2022-10-11,SHIB,1.024293386e-05,1.039331524e-05,9.97582024e-06,1.023051757e-05,225078483.5,-0.1227692658229528,1.1055206332e-05,1.1708834958171888e-05,1.0401577705828112e-05,33.427278375143246,-2.932740838870836e-07,-2.4658589260356223e-07,-4.6688191283521315e-08,14.310777070361686,14.014738371112497,1.017078317e-05,1.016858549e-05,1.020799726e-05,8.68661262e-06
2022-10-12,SHIB,1.023109772e-05,1.038275203e-05,1.00987795e-05,1.017078317e-05,128040822.48,-0.5838844378232122,1.1020998637e-05,1.1781613005542013e-05,1.0260384268457993e-05,32.80988059748468,-3.300572232319329e-07,-2.632801587292364e-07,-6.67770645026965e-08,10.954457309051996,8.693325142551467,1.03995234e-05,9.86118519e-06,9.8828805e-06,9.23940134e-06
2022-10-13,SHIB,1.017060307e-05,1.070928973e-05,9.38536028e-06,1.03995234e-05,443708628.31,2.248993279836098,1.09871730355e-05,1.1796117315545669e-05,1.0178228755454334e-05,37.82027732275173,-3.3686750239690626e-07,-2.779976274627703e-07,-5.886987493413596e-08,42.78774137006175,22.68432524982517,1.017886141e-05,9.91537923e-06,9.56483635e-06,9.12897238e-06
2022-10-14,SHIB,1.039820299e-05,1.071218765e-05,1.003501095e-05,1.017886141e-05,231553889.28,-2.1218471415718976,1.0933534091e-05,1.180823567038196e-05,1.005883251161804e-05,31.07899601403203,-3.559669111740564e-07,-2.935914842050276e-07,-6.237542696902881e-08,33.47796864008594,29.07338910639993,1.021383871e-05,1.002176943e-05,9.02830748e-06,9.47138334e-06
2022-10-15,SHIB,1.017922228e-05,1.041253004e-05,1.00595199e-05,1.021383871e-05,173389601.42,0.3436268418552046,1.0893474906e-05,1.182406214344629e-05,9.96288766855371e-06,33.52522285792138,-3.640840204875044e-07,-3.0768999146152294e-07,-5.6394029025981466e-08,34.95366780199502,37.07312593738093,1.028636999e-05,9.99867118e-06,9.08512207e-06,1.021343264e-05
2022-10-16,SHIB,1.021355806e-05,1.036629969e-05,1.018821231e-05,1.028636999e-05,121155378.24,0.7101275246199634,1.08521145125e-05,1.1814499959575448e-05,9.889729065424553e-06,37.90376339021259,-3.605085023657047e-07,-3.1825369364235933e-07,-4.2254808723345353e-08,38.01377676146844,35.48180440118316,1.038945136e-05,1.015029979e-05,9.26910816e-06,1.040061684e-05
2022-10-17,SHIB,1.028557739e-05,1.043934811e-05,1.022149452e-05,1.038945136e-05,117289815.34,1.002116102183881,1.08153524295e-05,1.1789989899647927e-05,9.840714959352071e-06,35.26090018983841,-3.453757962319227e-07,-3.236781141602721e-07,-2.169768207165062e-08,42.36280002276754,38.44341486207703,1.016858549e-05,9.92525446e-06,9.15340747e-06,1.067598905e-05
2022-10-18,SHIB,1.03901027e-05,1.047735165e-05,1.003383331e-05,1.016858549e-05,175418875.64,-2.125866538538768,1.0767955812e-05,1.1772659436701266e-05,9.763252187298731e-06,19.607593438435984,-3.47202710728454e-07,-3.2838303347390845e-07,-1.8819677254545526e-08,33.04442555551841,37.80700077991816,9.86118519e-06,1.023331293e-05,9.05646707e-06,1.050870782e-05
2022-10-19,SHIB,1.016925828e-05,1.018101301e-05,9.7232585e-06,9.86118519e-06,135343703.98,-3.0230389497369448,1.0704999140499998e-05,1.1772568153361087e-05,9.637430127638908e-06,18.70566968314685,-3.69199289200342e-07,-3.365462846191952e-07,-3.2653004581146826e-08,21.439000107103777,32.28207522846327,9.91537923e-06,1.080215135e-05,9.09884982e-06,1.054176765e-05
2022-10-20,SHIB,9.8607718e-06,1.011590058e-05,9.81649086e-06,9.91537923e-06,151239550.43,0.5495692348923331,1.06349750965e-05,1.1717455020323838e-05,9.552495172676164e-06,22.631698741647924,-3.779025051632134e-07,-3.4481752872799884e-07,-3.3084976435214555e-08,28.74656100372718,27.74332888878315,1.002176943e-05,1.065252654e-05,9.15710108e-06,1.116691519e-05
2022-10-21,SHIB,9.91559535e-06,1.004742106e-05,9.68247846e-06,1.002176943e-05,180099031.62,1.0729816533704195,1.05778996105e-05,1.166346393383634e-05,9.492335287163656e-06,26.976649149200057,-3.719277153316918e-07,-3.502395660487375e-07,-2.168814928295436e-08,36.23594098158815,28.80716736413973,9.99867118e-06,1.172500342e-05,8.79320625e-06,1.155603532e-05
2022-10-22,SHIB,1.002087668e-05,1.006766671e-05,9.94299183e-06,9.99867118e-06,96866356.0,-0.2304807565304378,1.0530616506e-05,1.1631253176672694e-05,9.429979835327305e-06,27.754226204121775,-3.648507151465212e-07,-3.531617958682943e-07,-1.168891927822694e-08,35.62648327526956,33.53632842019499,1.015029979e-05,1.288448987e-05,8.43756386e-06,1.222902959e-05
2022-10-23,SHIB,9.99828321e-06,1.016419538e-05,9.90820312e-06,1.015029979e-05,113876890.63,1.5164876139071026,1.04800912825e-05,1.1551303421195707e-05,9.408879143804297e-06,31.251802463539818,-3.430524844014853e-07,-3.511399335749325e-07,8.087449173447174e-09,44.43440457296271,38.76560960994016,9.92525446e-06,1.194658624e-05,8.80285629e-06,1.191247467e-05
2022-10-24,SHIB,1.015162473e-05,1.017911297e-05,9.88701389e-06,9.92525446e-06,118009700.37,-2.217129884397251,1.0395069924e-05,1.1346688754836868e-05,9.443451093163132e-06,40.95770772132132,-3.400170024855572e-07,-3.489153473570574e-07,8.898344871500244e-09,40.65996771854451,40.24028518892562,1.023331293e-05,1.247013229e-05,9.04993498e-06,1.200767535e-05
2022-10-25,SHIB,9.92374597e-06,1.037551567e-05,9.90486757e-06,1.023331293e-05,209262534.44,3.1037841018737966,1.03349868845e-05,1.1152436497777689e-05,9.51753727122231e-06,49.73703060884628,-3.091894734347801e-07,-3.40970172572602e-07,3.1780699137821874e-08,63.86015751430087,49.6515099352694,1.080215135e-05,1.286974548e-05,9.01859395e-06,1.202308073e-05
2022-10-26,SHIB,1.023100458e-05,1.083500698e-05,1.020785502e-05,1.080215135e-05,403900859.04,5.558692711647595,1.0316086517e-05,1.1065942102528568e-05,9.566230931471433e-06,61.69474242822626,-2.3613590037864697e-07,-3.20003318133811e-07,8.3867417755164e-08,97.66616985376244,67.39543169553598,1.065252654e-05,1.177412207e-05,9.18604873e-06,1.121013727e-05
2022-10-27,SHIB,1.080180941e-05,1.180382226e-05,1.064318257e-05,1.065252654e-05,746775848.74,-1.3851389890033317,1.0294119628e-05,1.0970418526597016e-05,9.617820729402984e-06,54.66730766641026,-1.88145069860266e-07,-2.93631668479102e-07,1.05486598618836e-07,45.70645340307262,69.07759359037867,1.172500342e-05,1.172757984e-05,9.02397647e-06,1.1648201e-05
2022-10-28,SHIB,1.065360881e-05,1.209528063e-05,1.035482972e-05,1.172500342e-05,829657554.12,10.067817019491777,1.0330229514e-05,1.1211815399761946e-05,9.448643628238054e-06,72.45086765777003,-6.284760173492205e-08,-2.47474855130266e-07,1.8462725339534402e-07,84.61857336055007,75.9970655391284,1.288448987e-05,1.252461526e-05,9.27219632e-06,1.162287624e-05
2022-10-29,SHIB,1.172378398e-05,1.488482655e-05,1.157856518e-05,1.288448987e-05,2217211792.84,9.889007350072054,1.04225533715e-05,1.1840074184130562e-05,9.00503255886944e-06,79.27942429811871,1.2853078784174206e-07,-1.7227372653586445e-07,3.0080451437760645e-07,61.53752073888258,63.95418250083511,1.194658624e-05,1.244096435e-05,9.07819972e-06,1.172001138e-05
2022-10-30,SHIB,1.288577048e-05,1.384365729e-05,1.165059631e-05,1.194658624e-05,1159869623.75,-7.279322964767099,1.05077280365e-05,1.2076492929440391e-05,8.938963143559605e-06,65.2368384138574,2.0218786004178666e-07,-9.738140922033425e-08,2.995692692621209e-07,43.51251811023852,63.22287073655709,1.247013229e-05,1.183179672e-05,9.08795725e-06,1.180631659e-05
2022-10-31,SHIB,1.194108083e-05,1.30037212e-05,1.177777236e-05,1.247013229e-05,872998501.89,4.3823904124765445,1.06197087725e-05,1.2409342768071324e-05,8.830074776928678e-06,67.74719268499564,2.993566145000336e-07,-1.803380447626065e-08,3.173904189762943e-07,53.57423300888564,52.87475728600227,1.286974548e-05,1.179444628e-05,9.3407527e-06,1.208950388e-05
2022-11-01,SHIB,1.246445629e-05,1.345428598e-05,1.230739234e-05,1.286974548e-05,950860118.32,3.204562555607016,1.0754656888e-05,1.2791690998350497e-05,8.717622777649502e-06,72.38813187858453,4.039524844089152e-07,6.636345330077453e-08,3.375890311081407e-07,61.25415722475719,52.78030278129381,1.177412207e-05,1.018144098e-05,9.19876931e-06,1.151138207e-05
2022-11-02,SHIB,1.286900242e-05,1.293656971e-05,1.159289387e-05,1.177412207e-05,683807118.83,-8.513170767072541,1.08233868215e-05,1.2902297276512302e-05,8.744476366487699e-06,63.98430754478367,3.938972103556602e-07,1.3187020471175165e-07,2.620270056439086e-07,40.1980335319062,51.67547458851637,1.172757984e-05,8.76632187e-06,9.32973436e-06,1.181423718e-05
2022-11-03,SHIB,1.177294765e-05,1.235322235e-05,1.167442317e-05,1.172757984e-05,391582037.1,-0.3952925723318845,1.0900822743e-05,1.2993974574426593e-05,8.807670911573409e-06,63.25739831103045,3.778175190563215e-07,1.8105966758066561e-07,1.9675785147565586e-07,39.30356656189037,46.91858577285128,1.252461526e-05,1.020799726e-05,9.21216194e-06,1.198459675e-05
2022-11-04,SHIB,1.172662207e-05,1.344652614e-05,1.162899177e-05,1.252461526e-05,709768854.65,6.79624808250292,1.10163615705e-05,1.3202869118028145e-05,8.829854022971858e-06,66.6533207470413,4.244950306701605e-07,2.297467401985646e-07,1.947482904715959e-07,52.76455729389147,44.08871912922937,1.244096435e-05,9.8828805e-06,9.36321065e-06,1.213509931e-05
2022-11-05,SHIB,1.252343712e-05,1.309276662e-05,1.236050908e-05,1.244096435e-05,572196597.51,-0.6678920530769239,1.11240912885e-05,1.337064954466311e-05,8.877533032336892e-06,66.11754531580782,4.495551733799161e-07,2.737084268348349e-07,1.758467465450812e-07,51.09114171123989,47.71975518900727,1.183179672e-05,9.56483635e-06,9.42181615e-06,1.273020896e-05
2022-11-06,SHIB,1.244522561e-05,1.282452887e-05,1.182009382e-05,1.183179672e-05,416836180.99,-4.896466325779636,1.11962085565e-05,1.343606274059052e-05,8.956354372409482e-06,60.43409914530924,4.154714836695555e-07,3.020610382017791e-07,1.1341044546777641e-07,38.90489526766943,47.586864757600296,1.179444628e-05,9.02830748e-06,9.31784018e-06,1.470987964e-05
2022-11-07,SHIB,1.183253412e-05,1.208051471e-05,1.161609822e-05,1.179444628e-05,334221979.2,-0.3156785134489803,1.1277501596e-05,1.3477989827950967e-05,9.077013364049032e-06,61.88780808836752,3.8105349812816553e-07,3.178595301870564e-07,6.319396794110915e-08,37.93604238836753,42.64402645575898,1.018144098e-05,9.08512207e-06,9.10091387e-06,1.435051648e-05
2022-11-08,SHIB,1.179601085e-05,1.187656043e-05,9.54343163e-06,1.018144098e-05,758571197.31,-13.675973095364336,1.12935143855e-05,1.3454921028042374e-05,9.132107742957626e-06,49.6383787437371,2.210725624689222e-07,2.985021366434295e-07,-7.742957417450733e-08,11.942384633743997,29.594440763260348,8.76632187e-06,9.26910816e-06,9.26884217e-06,1.411135839e-05
2022-11-09,SHIB,1.018247347e-05,1.027837054e-05,8.38572973e-06,8.76632187e-06,625749945.62,-13.899006169949825,1.12360615175e-05,1.3603022819132406e-05,8.869100215867593e-06,39.703639110775065,-1.9674966409047488e-08,2.3486671603293413e-07,-2.5454168244198165e-07,5.855176477202075,18.577867833104563,1.020799726e-05,9.15340747e-06,9.21537021e-06,1.438178382e-05
2022-11-10,SHIB,8.76300318e-06,1.042950024e-05,8.67474991e-06,1.020799726e-05,565187414.76,16.445613238702595,1.1245372909e-05,1.359361208671419e-05,8.897133731285809e-06,47.96140277846339,-9.306516485863589e-08,1.6928033985462014e-07,-2.62345504713256e-07,28.03446749274729,15.277342867897817,9.8828805e-06,9.05646707e-06,9.19449016e-06,1.374882431e-05
2022-11-11,SHIB,1.020789436e-05,1.039794237e-05,9.53610462e-06,9.8828805e-06,324158504.51,-3.184922093131526,1.1239583375e-05,1.3601296818967656e-05,8.877869931032344e-06,41.1603394217061,-1.7543927652302996e-07,1.0033641657909013e-07,-2.757756931021201e-07,23.032745687625003,18.97412988585815,9.56483635e-06,9.09884982e-06,9.12311249e-06,1.214225044e-05
2022-11-12,SHIB,9.88320319e-06,9.90778606e-06,9.33473584e-06,9.56483635e-06,268072142.84,-3.2181321022752507,1.1210310202999998e-05,1.3642339022793331e-05,8.778281383206664e-06,32.74040775817524,-2.63349133507692e-07,2.75993065617337e-08,-2.909484400694257e-07,21.599601882242226,24.2222716875382,9.02830748e-06,9.15710108e-06,8.9603735e-06,1.29157666e-05
2022-11-13,SHIB,9.56579327e-06,9.73194752e-06,8.96690723e-06,9.02830748e-06,229639308.66,-5.609388915472646,1.1165462854e-05,1.3726904544379442e-05,8.60402116362056e-06,34.16015133314022,-3.720232716750745e-07,-5.2325209085627935e-08,-3.1969806258944657e-07,12.67522675184836,19.102524773905223,9.08512207e-06,8.79320625e-06,9.16315066e-06,1.290680769e-05
2022-11-14,SHIB,9.02793078e-06,9.3550199e-06,8.66970032e-06,9.08512207e-06,285347022.11,0.6292939194401326,1.1108053311e-05,1.3805329479635668e-05,8.410777142364332e-06,30.66390331029565,-4.483950277700331e-07,-1.3153917282250897e-07,-3.1685585494752413e-07,13.795928193912426,16.023585609334365,9.26910816e-06,8.43756386e-06,8.81774304e-06,1.282531972e-05
2022-11-15,SHIB,9.08444523e-06,9.46379657e-06,9.02682686e-06,9.26910816e-06,183215112.7,2.025136135567629,1.10314011515e-05,1.3849698552955798e-05,8.213103750044201e-06,28.92010417067725,-4.884435813171341e-07,-2.0292005452143402e-07,-2.855235267957001e-07,17.451875943781786,14.64101029651422,9.15340747e-06,8.80285629e-06,8.85766353e-06,1.247099123e-05
2022-11-16,SHIB,9.26817141e-06,9.56421535e-06,9.03784031e-06,9.15340747e-06,228971254.88,-1.248239722773925,1.0956445198e-05,1.3894373130608718e-05,8.018517265391282e-06,32.65205656474633,-5.234840292378906e-07,-2.670328494647254e-07,-2.5645117977316525e-07,15.16611253829548,15.47130555866326,9.05646707e-06,9.04993498e-06,8.20939638e-06,1.275044465e-05
2022-11-17,SHIB,9.15302412e-06,9.20300545e-06,8.98222854e-06,9.05646707e-06,119716546.9,-1.059063527082338,1.08230183805e-05,1.3854864383582084e-05,7.791172377417916e-06,32.43677991982284,-5.527048789850577e-07,-3.241672553687918e-07,-2.2853762361626598e-07,13.25097427219521,15.289654251424189,9.09884982e-06,9.01859395e-06,8.29514551e-06,1.373019876e-05
2022-11-18,SHIB,9.05736784e-06,9.23102197e-06,9.01625938e-06,9.09884982e-06,98720800.69,0.4679832618217583,1.0633736378e-05,1.3595562535129189e-05,7.67191022087081e-06,25.03611373990049,-5.659191159210424e-07,-3.7251762747924205e-07,-1.9340148844180044e-07,15.146867084127708,14.521317964872829,9.15710108e-06,9.18604873e-06,8.56565531e-06,1.274271616e-05
2022-11-19,SHIB,9.0987596e-06,9.18385615e-06,9.01757e-06,9.15710108e-06,85037386.6,0.6402046539108586,1.049426212e-05,1.345849746292839e-05,7.530026777071608e-06,25.9773952077386,-5.651761057036965e-07,-4.1104932312413283e-07,-1.5412678257956365e-07,17.37401458211014,15.257285312811048,8.79320625e-06,9.02397647e-06,8.14863887e-06,1.317768827e-05
2022-11-20,SHIB,9.15705498e-06,9.21955914e-06,8.73302032e-06,8.79320625e-06,138213207.65,-3.973908629170675,1.0310415818e-05,1.3214145613253223e-05,7.406686022746774e-06,26.940037714902857,-5.871818692575889e-07,-4.462758323508241e-07,-1.4090603690676484e-07,11.025439039475708,14.515440235237875,8.43756386e-06,9.27219632e-06,8.46703563e-06,1.319309545e-05
2022-11-21,SHIB,8.7932396e-06,8.7932396e-06,8.33243745e-06,8.43756386e-06,211504863.7,-4.044513228607604,1.0088806737e-05,1.2842771013816208e-05,7.334842460183792e-06,25.703960110677784,-6.261016539307772e-07,-4.822409966668147e-07,-1.4386065726396249e-07,2.96538118968158,10.454944937089168,8.80285629e-06,9.07819972e-06,8.24734179e-06,1.336564489e-05
2022-11-22,SHIB,8.43580837e-06,8.8227613e-06,8.22630311e-06,8.80285629e-06,179287234.58,4.329358995808552,9.940243448e-06,1.2631260713845705e-05,7.249226182154294e-06,37.76156353332315,-6.203191642709594e-07,-5.098566301876436e-07,-1.1046253408331573e-07,26.157060643663893,13.382626957607089,9.04993498e-06,9.08795725e-06,8.3423576e-06,1.347834164e-05
2022-11-23,SHIB,8.80552161e-06,9.07141321e-06,8.77207588e-06,9.04993498e-06,166475380.85,2.806801359243827,9.806361205e-06,1.238714300553373e-05,7.225579404466272e-06,52.98155586647896,-5.890095784204362e-07,-5.256872198342022e-07,-6.332235858623405e-08,37.36652492601694,22.162988919787505,9.01859395e-06,9.3407527e-06,8.27977985e-06,1.306021817e-05
2022-11-24,SHIB,9.04867328e-06,9.18404142e-06,8.93741674e-06,9.01859395e-06,111224852.84,-0.3463122118475215,9.6310601395e-06,1.1890735370173012e-05,7.371384908826987e-06,30.658991726536016,-5.602670553931529e-07,-5.326031869459923e-07,-2.7663868447160525e-08,36.46674597972604,33.330110516468984,9.18604873e-06,9.19876931e-06,8.32508823e-06,1.312704921e-05
2022-11-25,SHIB,9.01749188e-06,9.38902353e-06,8.88865958e-06,9.18604873e-06,179094294.2,1.856772584821842,9.4683143585e-06,1.1305181107315244e-05,7.631447609684756e-06,37.9656820225297,-5.180049588288365e-07,-5.296835413225612e-07,1.1678582493724653e-08,57.04340837450984,43.62555976008431,9.02397647e-06,9.32973436e-06,8.28948885e-06,1.315170179e-05
2022-11-26,SHIB,9.18555325e-06,9.3489253e-06,8.98114469e-06,9.02397647e-06,137457127.84,-1.7643305055709213,9.327923346e-06,1.0796475942374292e-05,7.859370749625708e-06,40.082511676117534,-4.919192804513381e-07,-5.221306891483165e-07,3.021140869697844e-08,52.94370421485182,48.8179528563626,9.27219632e-06,9.21216194e-06,8.31435556e-06,1.254924028e-05
2022-11-27,SHIB,9.02372697e-06,9.59756872e-06,9.01626792e-06,9.27219632e-06,205943655.86,2.75067040373167,9.201810848e-06,1.0101559916404674e-05,8.302061779595328e-06,54.58115264000149,-4.460748517458737e-07,-5.06919521667828e-07,6.084466992195434e-08,76.21652851884843,62.067880369403404,9.07819972e-06,9.36321065e-06,8.19186522e-06,1.240412301e-05
2022-11-28,SHIB,9.27191277e-06,9.33548382e-06,8.83219148e-06,9.07819972e-06,163217983.33,-2.0922399969201533,9.146648785e-06,9.91989924289376e-06,8.373398327106243e-06,49.604679868132855,-4.205488902046039e-07,-4.896453953751833e-07,6.909650517057935e-08,62.079571461387886,63.74660139836274,9.08795725e-06,9.42181615e-06,7.92077804e-06,1.284095951e-05
2022-11-29,SHIB,9.07918592e-06,9.29601903e-06,9.03532052e-06,9.08795725e-06,131355967.2,0.1074830946768301,9.162730554e-06,9.91579110984146e-06,8.40966999815854e-06,46.05281355735535,-3.949789590801954e-07,-4.707121081161858e-07,7.573314903599033e-08,62.79062403961284,67.02890800661642,9.3407527e-06,9.31784018e-06,8.20876695e-06,1.251831125e-05
2022-11-30,SHIB,9.08800531e-06,9.38058016e-06,9.07115801e-06,9.3407527e-06,183097115.94,2.781653159735109,9.119368326e-06,9.698883494518976e-06,8.539853157481024e-06,53.321909559362005,-3.5027833373679576e-07,-4.466253532403078e-07,9.634701950351205e-08,81.2123820548123,68.69419251860437,9.19876931e-06,9.10091387e-06,8.05053196e-06,1.202574999e-05
2022-12-01,SHIB,9.34206786e-06,9.35159068e-06,9.13666075e-06,9.19876931e-06,111818633.93,-1.5200422766786237,9.0851627665e-06,9.542887796686589e-06,8.627437736313413e-06,52.41699979237148,-3.225910107043684e-07,-4.2181848473312005e-07,9.92274740287516e-08,70.86574150903634,71.62291586782054,9.32973436e-06,9.26884217e-06,8.08722868e-06,1.224867634e-05
