Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE
Polkadot,Close_t+90,17.071849658530134,16.09465150952381,"(0, 2, 1)",24.195543323858274,22.66710002805549
Solana,Close_t+1,1.1376215563750929,0.8395000752173913,"(1, 1, 0)",10.9261667599896,9.607716088615636
Solana,Close_t+7,3.5238883189060055,2.7230047966666664,"(1, 1, 0)",12.962240731141623,11.556480914992443
Solana,Close_t+30,14.515750255501922,12.15313209449275,"(1, 1, 0)",24.27434085195699,21.26540231919535
Solana,Close_t+90,26.623194237368534,24.556000366086955,"(1, 1, 0)",34.41319788939892,33.8274945536881
Stellar,Close_t+1,0.01424716120342032,0.006487227853353924,"(2, 1, 2)",0.1548377990182465,0.08904180366762372
Stellar,Close_t+7,0.03840027284980603,0.019392760293340083,"(2, 1, 2)",0.1659318483762112,0.09560745944696138
Stellar,Close_t+30,0.07243433538351844,0.046208364390236165,"(2, 1, 2)",0.19640250832427775,0.11793970623139488
Stellar,Close_t+90,0.14326383626423286,0.095138462497825,"(2, 1, 2)",0.23560245188180845,0.1591129358258521
Tether,Close_t+1,0.003018452208408206,0.0016988692810132697,"(1, 0, 1)",0.0025227795539402437,0.001441380387210804
Tether,Close_t+7,0.00323069487572196,0.0018117899570530564,"(1, 0, 1)",0.002489020961229698,0.0014083891409099475
Tether,Close_t+30,0.0036147480647852697,0.001990927518384624,"(1, 0, 1)",0.002425790081793802,0.0013278248508608737
Tether,Close_t+90,0.003177014513915976,0.0018422473902732178,"(1, 0, 1)",0.0018954509449895548,0.0010041906724186065
Tron,Close_t+1,0.0035644777217359635,0.0017782689886241246,"(2, 0, 2)",0.020782384201914778,0.010626859124650768
Tron,Close_t+7,0.010455751537450993,0.005060069597362256,"(2, 0, 2)",0.0262156800839189,0.013076365924514551
Tron,Close_t+30,0.02637683757259063,0.01440005631575175,"(2, 0, 2)",0.04125504078298657,0.022645786590623475
Tron,Close_t+90,0.043917438603941976,0.028298045856098443,"(2, 0, 2)",0.05018063737757519,0.03489557701306529
Uniswap,Close_t+1,1.71468361450351,1.2452429256756752,"(1, 1, 0)",5.531983756117874,5.154017508369423
Uniswap,Close_t+7,3.3497142131064983,2.794395065675675,"(1, 1, 0)",6.1107354059456505,5.679403421342395
Uniswap,Close_t+30,7.402861574384717,6.006355171891892,"(1, 1, 0)",11.172153425775587,10.11955570485591
Uniswap,Close_t+90,9.45311294513853,8.756513704864863,"(1, 1, 0)",5.052243207490341,4.275439256261414
USDCoin,Close_t+1,0.0005445062367906432,0.0003117395530726239,"(1, 0, 2)",0.0043104503137165835,0.004173289333449071
USDCoin,Close_t+7,0.0006937969721059249,0.00041719849162011373,"(1, 0, 2)",0.004287530618819588,0.004156223914454659
USDCoin,Close_t+30,0.0010913111215373197,0.0005705400000000033,"(1, 0, 2)",0.004289179791493191,0.004167141755532251
USDCoin,Close_t+90,0.0011281806446176608,0.0005478772625698295,"(1, 0, 2)",0.004187970876048046,0.004069170441109129
WrappedBitcoin,Close_t+1,1667.775608925241,1165.5495233290385,"(1, 2, 1)",26119.08551591632,21702.81231379294
WrappedBitcoin,Close_t+7,4788.5744249815925,3711.8680100127567,"(1, 2, 1)",27637.088408208157,23459.11587879474
WrappedBitcoin,Close_t+30,10129.637839396151,8319.34616655577,"(1, 2, 1)",31865.844123554038,29082.612870816727
WrappedBitcoin,Close_t+90,24861.81553399462,23348.527293825515,"(1, 2, 1)",34435.12569157414,32967.92898888185
XRP,Close_t+1,0.02851531619853841,0.01270695837456553,"(2, 0, 1)",0.16788371768495625,0.10358380985960153
XRP,Close_t+7,0.10088410965654514,0.04257643371228187,"(2, 0, 1)",0.216617296702917,0.1168744321611808
XRP,Close_t+30,0.24496143459085906,0.12739412411014903,"(2, 0, 1)",0.3341213206232544,0.16451476666845102
XRP,Close_t+90,0.3364394303794695,0.17926982330121188,"(2, 0, 1)",0.4270173566941578,0.2425801721474259
